countryname,countrycode,year,CO2emissionspercapita
World,WLD,1990,4.020867824554443
World,WLD,1991,3.983342885971069
World,WLD,1992,3.9103102684021
World,WLD,1993,3.874985218048096
World,WLD,1994,3.842027425765991
World,WLD,1995,3.893876314163208
World,WLD,1996,3.919585227966309
World,WLD,1997,3.935278654098511
World,WLD,1998,3.907460927963257
World,WLD,1999,3.881441831588745
World,WLD,2000,3.951660394668579
World,WLD,2001,3.958088636398315
World,WLD,2002,3.961470365524292
World,WLD,2003,4.090081691741943
World,WLD,2004,4.223794460296631
World,WLD,2005,4.329790115356445
World,WLD,2006,4.417134761810303
World,WLD,2007,4.528275012969971
World,WLD,2008,4.503795623779297
World,WLD,2009,4.39145040512085
World,WLD,2010,4.604869365692139
World,WLD,2011,4.689468860626221
World,WLD,2012,4.68537712097168
World,WLD,2013,4.719666004180908
World,WLD,2014,4.682408332824707
World,WLD,2015,4.601683616638184
World,WLD,2016,4.558579444885254
World,WLD,2017,4.578381061553955
World,WLD,2018,4.642145156860352
World,WLD,2019,4.582572937011719
World,WLD,2020,4.292269229888916
