countryname,countrycode,co2emissionspercap1990,co2emissionspercap2000,co2emissionspercap2010,co2emissionspercap2020,gdppercapitacurrentus1990,gdppercapitacurrentus2000,gdppercapitacurrentus2010,gdppercapitacurrentus2020,co2emissionskt1990,co2emissionskt2000,co2emissionskt2010,co2emissionskt2020,terrestrialandmarineprotectedare,forestareaoflandarea1990,forestareaoflandarea2000,forestareaoflandarea2010,forestareaoflandarea2020
Aruba,ABW,,,,,11638.733,21026.168,24452.588,24008.127,,,,,.14116375,2.3333333,2.3333333,2.3333333,2.3333333
Afghanistan,AFG,.19138935,.055166606,.30423021,.22347887,,,562.49921,512.05511,2046.87,1078.12,8576.1504,8709.4697,3.6372566,1.852782,1.852782,1.852782,1.852782
Angola,AGO,.5549413,.98841643,.97591674,.59274298,949.92133,556.88422,3586.6636,1450.9052,6564.2002,16204.16,22801.5,19814.5,5.0047097,63.578072,62.331444,57.8792,53.426952
Albania,ALB,1.8440355,1.0315676,1.6427619,1.5445501,617.23041,1126.6833,4094.3496,5343.0376,6060.5,3186.54,4785.3999,4383.2002,14.173929,28.788321,28.076643,28.5427,28.791971
Andorra,AND,7.5921521,7.9270163,7.2235909,5.7771478,19208.678,21620.465,48237.891,37207.238,406.70401,523.95203,516.62402,448.8844,26.727724,34.042553,34.042553,34.042553,34.042553
Arab World,ARB,2.7995024,3.2535675,4.2084527,3.9290776,2882.5815,2858.5317,6396.0786,5644.1426,632472.88,933988.56,1533676.6,1765052.9,3.3654375,3.7317672,3.5510719,3.4075983,2.8088953
United Arab Emirates,ARE,29.055796,25.868851,19.192797,20.252272,26682.85,31855.5,35392.262,37629.176,55210.398,84729.102,162788.91,188088.7,15.923666,3.4497325,4.3569417,4.4677558,4.4677558
Argentina,ARG,3.0735631,3.5679185,4.099844,3.4056175,4330.9683,7666.5181,10385.965,8500.8379,100313.9,132265.5,167226.3,154535.91,9.3979759,12.863715,12.196486,11.040344,10.440715
Armenia,ARM,5.5799193,1.1238675,1.4718835,2.4046838,634.56732,603.29803,3143.0295,4505.8677,19845.199,3561,4336.6001,6746.6001,24.305405,,11.683878,11.610819,11.537408
American Samoa,ASM,,,,,,,10446.863,15609.777,,,,,.0026435636,90.349998,88.650002,87.150002,85.650002
Antigua and Barbuda,ATG,3.4455533,4.1636133,5.4355564,5.1217303,7255.4063,11010.197,13404.516,15224.858,218.2,312.5,465.79999,474.60001,.38601753,22.977272,21.477272,19.954546,18.454546
Australia,AUS,15.437182,17.837318,17.973751,14.776137,18248.941,21870.416,52147.023,51868.246,263437.5,339422.81,395993.19,378996.81,30.395529,17.427359,17.158155,16.862932,17.421314
Austria,AUT,7.5901065,7.9308591,8.3656244,6.6326456,21680.99,24625.602,46903.762,48789.496,58275.699,63538.602,69965.102,59142.398,29.094318,45.754604,46.511635,46.815319,47.250969
Azerbaijan,AZE,7.4539666,3.440002,2.6851125,3.3988495,1238.2719,655.09723,5843.5337,4229.9106,53483.699,27687.199,24311.9,34305,5.5191526,,11.951093,12.491466,13.69419
Burundi,BDI,.0342099,.041631926,.035423905,.058384024,206.44493,138.00462,222.66058,216.82742,187.60001,262.60001,323.29999,713.466,7.5914717,10.766356,7.5521808,7.5521808,10.889408
Belgium,BEL,10.967035,11.440029,9.808816,7.3981309,20600.375,23098.887,44184.945,45609.004,109312.6,117274.6,106872.8,85364.102,17.579239,,22.037649,22.783026,22.7642
Benin,BEN,.064306073,.20355749,.5108245,.63120478,381.80505,502.99799,1009.4895,1240.7332,330.10999,1424.5,4825.1001,7980.3999,23.457106,42.880013,36.672134,32.237938,27.803743
Burkina Faso,BFA,.065061495,.088272311,.12994479,.25353318,339.63184,249.80208,627.27039,823.55243,594.09998,1048.9301,2094.3,5456.7002,16.40168,28.203947,26.376097,24.548611,22.72076
